customer_id,signup_date,plan,contract_type,mrr,discount_pct,effective_mrr,country,industry,team_size,referral_source,logins_per_week,features_used,support_tickets_last_90d,nps_score,tenure_months,last_activity_date,churned,churn_date
CUST-00018,2024-01-18,Starter,Annual,29.0,0.0,29.0,USA,Media,10,Referral,10.5,2,2,8,11,2024-12-30,0,
CUST-00019,2024-05-06,Growth,Monthly,79.0,0.0,79.0,Other,Finance,20,Partnership,8.4,4,0,8,7,2024-12-31,0,
CUST-00020,2023-04-20,Starter,Annual,29.0,25.0,21.75,India,Education,1,Paid Search,2.4,6,0,6,20,2024-12-29,0,
CUST-00021,2024-12-18,Pro,Annual,199.0,0.0,199.0,USA,Media,20,Organic,18.4,3,2,9,0,2024-12-11,1,2024-12-18
CUST-00022,2023-05-26,Starter,Annual,29.0,0.0,29.0,UK,Finance,50,Partnership,10.8,1,0,10,19,2024-12-24,0,
CUST-00023,2023-12-01,Pro,Annual,199.0,0.0,199.0,USA,E-commerce,20,Social,13.6,5,2,6,13,2024-12-15,0,
CUST-00024,2024-09-02,Starter,Monthly,29.0,0.0,29.0,Australia,SaaS,5,Social,6.6,7,1,6,2,2024-10-12,1,2024-11-01
CUST-00025,2022-07-09,Starter,Monthly,29.0,15.0,24.65,Other,Healthcare,50,Organic,3.0,3,1,7,30,2024-12-31,0,
CUST-00026,2024-08-15,Starter,Annual,29.0,0.0,29.0,France,Finance,1,Organic,5.3,8,1,5,2,2024-09-26,1,2024-10-14
CUST-00027,2023-11-18,Starter,Annual,29.0,0.0,29.0,India,Other,1,Paid Search,12.3,6,2,4,13,2024-12-25,0,
CUST-00028,2024-08-15,Starter,Monthly,29.0,20.0,23.2,Canada,SaaS,50,Social,17.1,2,2,6,4,2024-12-09,0,
CUST-00029,2023-07-17,Starter,Monthly,29.0,0.0,29.0,USA,Media,10,Paid Search,11.1,4,1,5,17,2024-12-11,0,
CUST-00030,2024-04-11,Growth,Monthly,79.0,0.0,79.0,USA,E-commerce,1,Organic,12.3,2,0,10,8,2024-12-09,0,
CUST-00031,2023-10-09,Starter,Annual,29.0,0.0,29.0,Germany,Other,2,Paid Search,8.9,5,0,6,14,2024-12-14,0,
CUST-00032,2022-01-21,Growth,Monthly,79.0,0.0,79.0,Canada,Finance,10,Paid Search,15.4,1,1,8,35,2024-12-18,0,
CUST-00033,2024-04-20,Growth,Monthly,79.0,0.0,79.0,France,Healthcare,10,Email,2.7,2,3,6,8,2024-12-24,0,
CUST-00034,2022-06-16,Enterprise,Monthly,599.0,0.0,599.0,France,E-commerce,1,Partnership,6.4,5,3,10,8,2023-01-27,1,2023-02-11
CUST-00035,2023-01-23,Enterprise,Annual,599.0,0.0,599.0,USA,SaaS,3,Organic,6.5,4,0,7,23,2024-12-13,0,
CUST-00036,2023-08-24,Growth,Monthly,79.0,25.0,59.25,USA,Education,20,Organic,11.8,2,4,5,16,2024-12-23,0,
CUST-00037,2022-11-12,Starter,Monthly,29.0,0.0,29.0,India,Finance,50,Social,15.0,3,3,8,26,2024-12-06,0,
CUST-00038,2022-01-14,Starter,Monthly,29.0,0.0,29.0,UK,Retail,5,Organic,3.9,6,2,8,7,2022-07-15,1,2022-08-12
CUST-00039,2022-08-30,Enterprise,Annual,599.0,0.0,599.0,USA,Finance,5,Organic,17.9,6,1,9,28,2024-12-31,0,
CUST-00040,2024-02-16,Starter,Monthly,29.0,0.0,29.0,India,SaaS,3,Referral,3.5,4,1,7,4,2024-05-21,1,2024-06-15
CUST-00041,2023-07-19,Starter,Monthly,29.0,0.0,29.0,USA,Education,5,Paid Search,16.9,5,2,7,17,2024-12-06,0,
CUST-00042,2024-06-16,Starter,Monthly,29.0,0.0,29.0,India,Retail,1,Social,17.6,7,1,4,6,2024-12-26,0,
CUST-00043,2022-04-02,Starter,Monthly,29.0,0.0,29.0,USA,Other,2,Organic,2.8,4,2,9,33,2024-12-09,0,
CUST-00044,2024-08-13,Starter,Annual,29.0,0.0,29.0,India,Education,3,Paid Search,14.0,6,3,7,4,2024-12-18,0,
CUST-00045,2023-05-24,Pro,Monthly,199.0,0.0,199.0,USA,E-commerce,2,Referral,13.8,3,1,7,19,2024-12-21,0,
CUST-00046,2024-02-15,Starter,Annual,29.0,0.0,29.0,India,Finance,2,Paid Search,2.9,7,3,7,2,2024-04-06,1,2024-04-15
CUST-00047,2022-02-04,Growth,Annual,79.0,0.0,79.0,Other,Healthcare,100,Organic,2.7,2,3,6,35,2024-12-27,0,
CUST-00048,2022-07-25,Starter,Annual,29.0,0.0,29.0,USA,Healthcare,1,Organic,6.4,4,2,9,4,2022-11-15,1,2022-11-22
CUST-00049,2024-10-22,Starter,Monthly,29.0,0.0,29.0,Canada,SaaS,2,Referral,10.1,3,2,5,2,2024-12-01,0,
CUST-00050,2024-10-18,Enterprise,Monthly,599.0,20.0,479.2,Canada,SaaS,5,Organic,8.8,6,1,8,1,2024-10-23,1,2024-11-17
CUST-00051,2023-07-20,Starter,Annual,29.0,0.0,29.0,Germany,Finance,2,Paid Search,9.6,6,3,4,17,2024-12-21,0,
CUST-00052,2023-12-04,Pro,Monthly,199.0,0.0,199.0,USA,Media,5,Paid Search,12.6,3,2,3,13,2024-12-28,0,
CUST-00053,2023-02-06,Growth,Monthly,79.0,0.0,79.0,USA,SaaS,2,Referral,11.7,5,1,10,23,2024-12-29,0,
CUST-00054,2023-12-31,Starter,Monthly,29.0,0.0,29.0,Other,SaaS,5,Organic,11.0,6,3,5,7,2024-07-15,1,2024-07-28
CUST-00055,2022-06-11,Enterprise,Monthly,599.0,20.0,479.2,USA,Media,20,Paid Search,9.6,7,1,7,31,2024-12-28,0,
CUST-00056,2022-07-21,Starter,Monthly,29.0,15.0,24.65,USA,Education,5,Paid Search,9.7,4,2,6,29,2024-12-20,0,
CUST-00057,2024-09-22,Pro,Monthly,199.0,0.0,199.0,France,Healthcare,1,Organic,14.3,4,2,8,3,2024-12-04,0,
CUST-00058,2022-09-27,Starter,Monthly,29.0,10.0,26.1,USA,SaaS,10,Social,15.3,6,3,7,15,2023-12-09,1,2023-12-21
CUST-00059,2024-03-26,Pro,Annual,199.0,0.0,199.0,India,Healthcare,2,Social,10.0,5,0,9,9,2024-12-12,0,
CUST-00060,2023-04-01,Starter,Annual,29.0,0.0,29.0,Canada,Retail,5,Social,15.7,6,1,4,6,2023-09-19,1,2023-09-28
CUST-00061,2024-10-13,Growth,Monthly,79.0,0.0,79.0,Canada,SaaS,5,Organic,10.6,5,2,8,2,2024-12-06,0,
CUST-00062,2022-10-23,Pro,Annual,199.0,0.0,199.0,USA,SaaS,20,Paid Search,11.0,2,2,7,26,2024-12-30,0,
CUST-00063,2023-12-21,Enterprise,Annual,599.0,0.0,599.0,USA,Media,3,Paid Search,6.2,6,0,4,12,2024-12-08,0,
CUST-00064,2022-12-04,Enterprise,Annual,599.0,20.0,479.2,France,Finance,2,Paid Search,9.0,7,0,6,9,2023-08-16,1,2023-08-31
CUST-00065,2024-05-28,Pro,Annual,199.0,10.0,179.1,India,Education,3,Organic,10.8,6,0,4,7,2024-12-14,0,
CUST-00066,2024-12-12,Enterprise,Monthly,599.0,0.0,599.0,Canada,Media,5,Partnership,10.3,5,2,4,0,2024-12-28,0,
CUST-00067,2024-03-02,Starter,Annual,29.0,20.0,23.2,India,E-commerce,20,Partnership,9.5,8,4,6,2,2024-04-01,1,2024-05-01
CUST-00068,2022-08-05,Starter,Monthly,29.0,0.0,29.0,Canada,E-commerce,2,Paid Search,16.5,8,0,9,29,2024-12-19,0,
CUST-00069,2024-02-03,Starter,Annual,29.0,0.0,29.0,USA,E-commerce,20,Email,14.4,1,1,8,11,2024-12-29,0,
CUST-00070,2022-07-07,Growth,Monthly,79.0,0.0,79.0,USA,SaaS,2,Paid Search,18.9,6,3,10,30,2024-12-14,0,
CUST-00071,2023-01-15,Growth,Monthly,79.0,0.0,79.0,Other,E-commerce,10,Referral,11.7,2,1,7,10,2023-11-01,1,2023-11-11
CUST-00072,2023-05-08,Growth,Monthly,79.0,0.0,79.0,USA,Other,2,Social,12.3,7,1,10,20,2024-12-05,0,
CUST-00073,2024-11-30,Starter,Monthly,29.0,0.0,29.0,Other,SaaS,10,Referral,12.5,2,0,10,1,2024-12-09,1,2024-12-30
CUST-00074,2022-01-15,Pro,Annual,199.0,0.0,199.0,France,E-commerce,10,Organic,7.9,4,0,5,36,2024-12-12,0,
CUST-00075,2022-03-06,Starter,Annual,29.0,0.0,29.0,Canada,E-commerce,5,Paid Search,7.5,7,2,7,34,2024-12-03,0,
CUST-00076,2023-06-05,Starter,Monthly,29.0,0.0,29.0,UK,SaaS,5,Social,13.8,3,0,6,19,2024-12-04,0,
CUST-00077,2023-10-10,Growth,Annual,79.0,0.0,79.0,USA,SaaS,10,Social,6.9,5,1,7,14,2024-12-20,0,
CUST-00078,2024-12-22,Pro,Annual,199.0,0.0,199.0,UK,SaaS,10,Paid Search,17.4,2,0,10,0,2024-12-13,0,
CUST-00079,2023-08-16,Pro,Monthly,199.0,0.0,199.0,Australia,Finance,10,Referral,8.0,5,3,6,16,2024-12-25,0,
CUST-00080,2023-01-27,Growth,Annual,79.0,20.0,63.2,Canada,Finance,20,Organic,13.8,3,1,5,23,2024-12-09,0,
CUST-00081,2023-02-23,Starter,Monthly,29.0,0.0,29.0,USA,SaaS,2,Organic,11.1,6,1,5,22,2024-12-29,0,
CUST-00082,2022-10-16,Growth,Annual,79.0,0.0,79.0,India,Healthcare,2,Organic,14.7,4,3,6,26,2024-12-30,0,
CUST-00083,2023-01-14,Starter,Annual,29.0,0.0,29.0,India,SaaS,100,Paid Search,7.3,4,2,10,23,2024-12-10,0,
CUST-00084,2022-08-19,Growth,Monthly,79.0,0.0,79.0,UK,Finance,20,Social,7.9,4,0,10,28,2024-12-24,0,
CUST-00085,2024-10-14,Growth,Annual,79.0,0.0,79.0,Germany,SaaS,5,Email,14.2,7,3,1,2,2024-12-07,0,
CUST-00086,2022-02-10,Starter,Annual,29.0,0.0,29.0,Canada,Education,1,Referral,18.7,3,2,7,20,2023-09-23,1,2023-10-03
CUST-00087,2024-11-17,Starter,Annual,29.0,0.0,29.0,USA,Healthcare,20,Referral,15.9,5,0,6,1,2024-12-29,0,
CUST-00088,2022-05-15,Enterprise,Monthly,599.0,0.0,599.0,USA,SaaS,10,Organic,18.3,2,1,9,32,2024-12-04,0,
CUST-00089,2022-07-20,Enterprise,Annual,599.0,10.0,539.1,USA,SaaS,50,Organic,3.7,1,1,5,29,2024-12-24,0,
CUST-00090,2024-02-19,Growth,Annual,79.0,0.0,79.0,USA,SaaS,1,Paid Search,14.6,6,1,5,10,2024-12-04,0,
CUST-00091,2024-07-18,Starter,Monthly,29.0,0.0,29.0,India,Finance,1,Referral,15.8,4,3,6,5,2024-12-28,0,
CUST-00092,2024-11-22,Starter,Annual,29.0,0.0,29.0,USA,Media,3,Organic,9.0,6,2,6,1,2024-12-09,1,2024-12-22
CUST-00093,2024-12-07,Growth,Annual,79.0,0.0,79.0,USA,Retail,20,Organic,6.5,5,0,8,0,2024-12-23,0,
CUST-00094,2023-05-18,Enterprise,Monthly,599.0,0.0,599.0,USA,Finance,100,Referral,13.2,4,1,6,19,2024-12-17,0,
CUST-00095,2023-02-11,Starter,Annual,29.0,0.0,29.0,USA,Retail,2,Organic,15.3,7,0,9,22,2024-12-11,0,
CUST-00096,2024-03-15,Pro,Monthly,199.0,0.0,199.0,Other,Retail,1,Paid Search,11.8,5,3,5,5,2024-07-16,1,2024-08-12
CUST-00097,2022-04-09,Starter,Annual,29.0,0.0,29.0,Other,Education,1,Partnership,13.3,6,0,9,33,2024-12-20,0,
CUST-00098,2023-11-15,Enterprise,Monthly,599.0,20.0,479.2,USA,E-commerce,20,Email,18.6,4,0,5,13,2024-12-26,0,
CUST-00099,2023-12-27,Growth,Annual,79.0,0.0,79.0,Germany,Retail,3,Organic,14.6,3,1,8,12,2024-12-20,0,
CUST-00100,2024-08-18,Pro,Annual,199.0,0.0,199.0,India,E-commerce,20,Organic,17.8,4,0,6,2,2024-10-05,1,2024-10-17
CUST-00101,2023-09-05,Starter,Monthly,29.0,20.0,23.2,UK,Healthcare,3,Organic,15.4,7,2,9,16,2024-12-25,0,
CUST-00102,2023-10-05,Growth,Annual,79.0,20.0,63.2,India,Education,1,Organic,15.6,3,1,2,15,2024-12-10,0,
CUST-00103,2024-10-25,Starter,Monthly,29.0,0.0,29.0,France,Other,5,Organic,16.7,9,3,5,1,2024-11-15,1,2024-11-24
CUST-00104,2023-05-18,Starter,Monthly,29.0,0.0,29.0,India,Healthcare,3,Paid Search,13.8,4,0,9,5,2023-09-22,1,2023-10-15
CUST-00105,2024-02-06,Enterprise,Monthly,599.0,25.0,449.25,USA,SaaS,3,Organic,14.3,5,0,7,10,2024-12-02,0,
CUST-00106,2023-02-02,Enterprise,Monthly,599.0,0.0,599.0,Australia,SaaS,50,Paid Search,10.7,1,0,4,7,2023-08-09,1,2023-08-31
CUST-00107,2024-05-20,Enterprise,Annual,599.0,0.0,599.0,India,E-commerce,3,Referral,13.5,8,3,6,7,2024-12-11,0,
CUST-00108,2024-03-05,Growth,Monthly,79.0,15.0,67.15,USA,Healthcare,10,Referral,5.5,2,1,8,2,2024-05-01,1,2024-05-04
CUST-00109,2023-01-28,Pro,Monthly,199.0,0.0,199.0,India,E-commerce,1,Paid Search,17.2,2,1,5,23,2024-12-12,0,
CUST-00110,2022-07-26,Starter,Monthly,29.0,0.0,29.0,Canada,Education,3,Organic,9.9,3,1,9,29,2024-12-11,0,
CUST-00111,2024-11-04,Starter,Annual,29.0,0.0,29.0,USA,Finance,5,Referral,14.5,3,0,9,1,2024-12-26,0,
CUST-00112,2024-06-10,Starter,Monthly,29.0,20.0,23.2,France,Healthcare,1,Email,16.0,6,3,8,6,2024-12-14,0,
CUST-00113,2024-05-13,Growth,Monthly,79.0,0.0,79.0,Germany,SaaS,2,Paid Search,4.9,3,1,9,4,2024-08-17,1,2024-09-10
CUST-00114,2024-01-13,Growth,Annual,79.0,20.0,63.2,India,Finance,10,Organic,10.3,4,1,6,11,2024-12-24,0,
CUST-00115,2023-07-18,Starter,Annual,29.0,0.0,29.0,USA,Education,1,Social,9.9,5,3,10,17,2024-12-26,0,
CUST-00116,2024-10-17,Growth,Annual,79.0,0.0,79.0,UK,Media,1,Email,11.8,9,1,9,2,2024-12-17,0,
CUST-00117,2022-04-06,Pro,Annual,199.0,25.0,149.25,India,Other,2,Partnership,12.5,6,1,7,33,2024-12-19,0,
CUST-00118,2023-04-30,Growth,Monthly,79.0,0.0,79.0,Canada,E-commerce,20,Organic,16.6,3,1,4,20,2024-12-23,0,
CUST-00119,2022-08-19,Starter,Annual,29.0,30.0,20.3,USA,SaaS,10,Paid Search,15.9,4,1,2,28,2024-12-02,0,
CUST-00120,2024-01-19,Starter,Annual,29.0,30.0,20.3,UK,Healthcare,10,Email,10.1,5,3,9,6,2024-06-26,1,2024-07-17
CUST-00121,2023-06-25,Starter,Annual,29.0,0.0,29.0,India,Other,2,Organic,6.3,5,2,4,8,2024-01-28,1,2024-02-20
CUST-00122,2024-11-25,Starter,Monthly,29.0,0.0,29.0,India,E-commerce,1,Paid Search,7.9,4,1,5,1,2024-12-14,0,
CUST-00123,2023-06-09,Growth,Monthly,79.0,0.0,79.0,USA,Media,1,Referral,6.4,6,0,8,19,2024-12-24,0,
CUST-00124,2023-08-01,Growth,Monthly,79.0,0.0,79.0,India,E-commerce,5,Referral,3.1,5,1,4,7,2024-02-05,1,2024-02-27
CUST-00125,2023-11-13,Pro,Annual,199.0,0.0,199.0,India,E-commerce,10,Email,10.8,9,1,10,2,2024-01-01,1,2024-01-12
CUST-00126,2023-07-11,Growth,Annual,79.0,0.0,79.0,France,Other,2,Referral,17.0,5,2,7,2,2023-08-13,1,2023-09-09
CUST-00127,2024-10-09,Pro,Monthly,199.0,25.0,149.25,India,Healthcare,3,Paid Search,6.6,3,0,10,2,2024-12-07,0,
CUST-00128,2023-10-08,Starter,Monthly,29.0,0.0,29.0,UK,Education,2,Organic,16.6,3,1,9,15,2024-12-07,0,
CUST-00129,2024-03-06,Growth,Annual,79.0,30.0,55.3,India,Finance,2,Partnership,14.4,6,2,2,3,2024-06-02,1,2024-06-04
CUST-00130,2024-11-17,Pro,Monthly,199.0,15.0,169.15,USA,Media,10,Paid Search,6.9,4,0,8,1,2024-12-24,0,
CUST-00131,2022-07-09,Starter,Annual,29.0,10.0,26.1,USA,E-commerce,10,Referral,15.4,7,1,7,30,2024-12-05,0,
CUST-00132,2023-09-25,Starter,Monthly,29.0,20.0,23.2,Canada,Retail,1,Paid Search,14.8,7,0,7,9,2024-06-19,1,2024-06-21
CUST-00133,2023-09-20,Enterprise,Annual,599.0,25.0,449.25,India,Finance,50,Social,4.6,9,0,7,15,2024-12-06,0,
CUST-00134,2024-08-30,Starter,Monthly,29.0,15.0,24.65,France,E-commerce,2,Referral,13.0,2,1,9,2,2024-10-18,1,2024-10-29
CUST-00135,2023-12-11,Pro,Annual,199.0,0.0,199.0,France,SaaS,50,Paid Search,18.4,7,1,10,12,2024-12-19,0,
CUST-00136,2023-10-11,Starter,Annual,29.0,0.0,29.0,USA,SaaS,3,Referral,13.1,3,3,5,14,2024-12-23,0,
CUST-00137,2022-11-14,Pro,Annual,199.0,0.0,199.0,USA,E-commerce,3,Email,7.3,1,0,7,25,2024-12-29,0,
CUST-00138,2023-11-15,Starter,Monthly,29.0,0.0,29.0,USA,SaaS,3,Referral,8.5,5,3,10,13,2024-12-25,0,
CUST-00139,2023-10-26,Starter,Annual,29.0,0.0,29.0,USA,SaaS,50,Partnership,11.4,4,2,7,14,2024-12-02,0,
CUST-00140,2023-03-18,Growth,Monthly,79.0,0.0,79.0,Australia,Finance,2,Social,3.2,5,1,7,9,2023-11-24,1,2023-12-13
CUST-00141,2023-07-18,Starter,Annual,29.0,30.0,20.3,USA,Other,5,Paid Search,8.9,3,1,7,17,2024-12-03,0,
CUST-00142,2024-08-09,Growth,Annual,79.0,0.0,79.0,Germany,Healthcare,2,Social,14.7,8,0,10,4,2024-12-09,0,
CUST-00143,2023-11-30,Starter,Annual,29.0,0.0,29.0,India,Finance,50,Paid Search,9.0,9,2,8,13,2024-12-21,0,
CUST-00144,2022-04-23,Starter,Monthly,29.0,30.0,20.3,USA,SaaS,1,Organic,10.9,3,0,10,32,2024-12-25,0,
CUST-00145,2022-01-02,Starter,Monthly,29.0,0.0,29.0,India,SaaS,5,Referral,11.6,6,2,10,36,2024-12-11,0,
CUST-00146,2023-10-04,Starter,Monthly,29.0,0.0,29.0,UK,E-commerce,3,Paid Search,4.3,2,3,7,4,2024-01-16,1,2024-02-01
CUST-00147,2022-08-08,Enterprise,Monthly,599.0,0.0,599.0,Canada,Retail,5,Organic,5.7,1,0,8,29,2024-12-19,0,
CUST-00148,2024-05-04,Starter,Monthly,29.0,0.0,29.0,USA,Other,1,Organic,16.9,2,0,10,1,2024-05-05,1,2024-06-03
CUST-00149,2023-01-20,Growth,Monthly,79.0,0.0,79.0,Other,Education,3,Organic,2.3,2,0,5,23,2024-12-02,0,
CUST-00150,2024-12-12,Starter,Monthly,29.0,0.0,29.0,India,SaaS,1,Social,15.1,7,1,9,0,2024-12-11,0,
CUST-00151,2023-12-31,Starter,Monthly,29.0,15.0,24.65,Germany,Healthcare,50,Social,13.8,6,0,9,12,2024-12-17,0,
CUST-00152,2022-09-04,Enterprise,Monthly,599.0,0.0,599.0,USA,Healthcare,2,Referral,11.8,4,2,6,28,2024-12-27,0,
CUST-00153,2024-04-15,Starter,Monthly,29.0,0.0,29.0,Australia,Other,100,Partnership,9.8,8,3,6,8,2024-12-23,0,
CUST-00154,2022-07-22,Enterprise,Annual,599.0,0.0,599.0,India,Media,3,Organic,15.9,4,0,7,29,2024-12-27,0,
CUST-00155,2022-05-03,Starter,Annual,29.0,0.0,29.0,UK,Education,1,Organic,3.2,5,3,8,11,2023-03-21,1,2023-03-29
CUST-00156,2023-02-05,Pro,Monthly,199.0,0.0,199.0,USA,Finance,1,Email,16.1,6,1,10,23,2024-12-08,0,
CUST-00157,2024-02-06,Growth,Annual,79.0,0.0,79.0,India,Education,5,Referral,15.5,4,3,8,10,2024-12-14,0,
CUST-00158,2022-10-21,Enterprise,Annual,599.0,0.0,599.0,Other,Education,5,Referral,2.6,6,0,4,26,2024-12-14,0,
CUST-00159,2022-10-07,Growth,Monthly,79.0,0.0,79.0,USA,Finance,3,Social,16.8,5,4,10,27,2024-12-23,0,
CUST-00160,2024-06-02,Growth,Annual,79.0,0.0,79.0,USA,Retail,1,Organic,6.6,4,2,9,7,2024-12-08,0,
CUST-00161,2022-07-17,Starter,Annual,29.0,0.0,29.0,Canada,SaaS,2,Referral,10.0,1,2,7,29,2024-12-13,0,
CUST-00162,2024-09-08,Starter,Annual,29.0,30.0,20.3,India,Other,2,Paid Search,14.0,5,1,6,3,2024-12-18,0,
CUST-00163,2024-01-22,Enterprise,Monthly,599.0,0.0,599.0,India,Media,10,Paid Search,15.0,3,3,5,6,2024-06-21,1,2024-07-20
CUST-00164,2022-05-24,Starter,Monthly,29.0,0.0,29.0,Australia,Finance,3,Email,13.0,5,1,9,31,2024-12-13,0,
CUST-00165,2023-09-01,Growth,Monthly,79.0,0.0,79.0,India,Retail,5,Organic,13.4,7,0,3,16,2024-12-19,0,
CUST-00166,2022-07-06,Pro,Annual,199.0,0.0,199.0,UK,Retail,2,Organic,15.4,3,1,9,30,2024-12-20,0,
CUST-00167,2023-04-09,Starter,Annual,29.0,0.0,29.0,France,Healthcare,10,Paid Search,13.7,3,1,6,11,2024-02-25,1,2024-03-04
CUST-00168,2023-10-22,Enterprise,Monthly,599.0,0.0,599.0,USA,Retail,1,Organic,7.0,6,0,8,14,2024-12-27,0,
CUST-00169,2024-02-03,Pro,Monthly,199.0,0.0,199.0,USA,SaaS,100,Social,12.1,6,0,1,11,2024-12-15,0,
CUST-00170,2024-08-12,Growth,Monthly,79.0,0.0,79.0,France,Healthcare,5,Organic,12.2,4,1,3,4,2024-12-16,0,
CUST-00171,2023-02-07,Enterprise,Monthly,599.0,0.0,599.0,Australia,E-commerce,1,Partnership,14.3,7,4,6,23,2024-12-29,0,
CUST-00172,2022-05-27,Starter,Monthly,29.0,0.0,29.0,USA,SaaS,10,Organic,6.2,5,2,5,31,2024-12-07,0,
CUST-00173,2024-05-13,Starter,Monthly,29.0,0.0,29.0,USA,Retail,10,Email,7.9,3,2,9,3,2024-08-09,1,2024-08-11
CUST-00174,2023-05-04,Growth,Monthly,79.0,0.0,79.0,Germany,E-commerce,10,Organic,11.2,2,1,8,20,2024-12-04,0,
CUST-00175,2024-07-17,Starter,Monthly,29.0,0.0,29.0,India,Education,2,Organic,2.7,6,2,10,5,2024-12-28,0,
CUST-00176,2023-07-05,Pro,Monthly,199.0,0.0,199.0,Germany,E-commerce,50,Paid Search,7.0,6,0,8,18,2024-12-27,0,
CUST-00177,2022-12-04,Enterprise,Annual,599.0,0.0,599.0,France,Finance,1,Paid Search,6.3,7,2,6,25,2024-12-11,0,
CUST-00178,2024-05-21,Growth,Annual,79.0,0.0,79.0,USA,E-commerce,2,Referral,7.9,4,2,9,4,2024-09-12,1,2024-09-18
CUST-00179,2023-10-03,Starter,Annual,29.0,0.0,29.0,Other,Media,1,Referral,10.5,5,2,6,15,2024-12-06,0,
CUST-00180,2023-04-18,Enterprise,Annual,599.0,0.0,599.0,Canada,Media,3,Partnership,7.7,2,1,6,20,2024-12-10,0,
CUST-00181,2022-05-31,Growth,Annual,79.0,30.0,55.3,Germany,Healthcare,1,Partnership,13.5,4,1,7,31,2024-12-18,0,
CUST-00182,2022-09-20,Growth,Annual,79.0,0.0,79.0,UK,Retail,5,Paid Search,14.2,8,1,10,27,2024-12-12,0,
CUST-00183,2022-05-24,Growth,Monthly,79.0,0.0,79.0,USA,E-commerce,1,Organic,12.6,2,0,9,31,2024-12-29,0,
CUST-00184,2022-12-12,Enterprise,Monthly,599.0,0.0,599.0,UK,Media,5,Organic,14.1,6,0,9,25,2024-12-19,0,
CUST-00185,2023-09-16,Growth,Monthly,79.0,20.0,63.2,India,Education,2,Organic,12.0,5,0,10,6,2024-03-01,1,2024-03-14
CUST-00186,2024-10-13,Pro,Annual,199.0,0.0,199.0,Other,Healthcare,1,Organic,10.9,3,4,9,2,2024-12-12,0,
CUST-00187,2024-05-30,Pro,Monthly,199.0,0.0,199.0,India,Retail,2,Email,7.8,4,0,5,7,2024-12-17,0,
CUST-00188,2022-01-02,Starter,Monthly,29.0,0.0,29.0,USA,Finance,5,Paid Search,12.0,2,1,8,4,2022-04-15,1,2022-05-02
CUST-00189,2024-06-15,Growth,Annual,79.0,0.0,79.0,Canada,Retail,5,Referral,19.5,2,0,10,6,2024-12-23,0,
CUST-00190,2022-09-11,Pro,Monthly,199.0,0.0,199.0,USA,Education,10,Partnership,9.6,3,4,4,28,2024-12-14,0,
CUST-00191,2023-03-29,Growth,Monthly,79.0,0.0,79.0,Other,Finance,50,Organic,4.0,7,0,7,21,2024-12-04,0,
